#Note: This mapping table is made by me. Not everything is in Unicode- PUA mappings included.

0x00	0x0000	#NULL
0x01	0x0001	#START OF HEADING
0x02	0x0002	#START OF TEXT
0x03	0x0003	#END OF TEXT
0x04	0x009C	#CONTROL
0x05	0x0009	#HORIZONTAL TABULATION
0x06	0x0086	#CONTROL
0x07	0x007F	#DELETE
0x08	0x0097	#CONTROL
0x09	0x008D	#CONTROL
0x0A	0x008E	#CONTROL
0x0B	0x000B	#VERTICAL TABULATION
0x0C	0x000C	#FORM FEED
0x0D	0x000D	#CARRIAGE RETURN
0x0E	0x000E	#SHIFT OUT
0x0F	0x000F	#SHIFT IN
0x10	0x0010	#DATA LINK ESCAPE
0x11	0x0011	#DEVICE CONTROL ONE
0x12	0x0012	#DEVICE CONTROL TWO
0x13	0x0013	#DEVICE CONTROL THREE
0x14	0x009D	#CONTROL
0x15	0x0085	#CONTROL
0x16	0x0008	#BACKSPACE
0x17	0x0087	#CONTROL
0x18	0x0018	#CANCEL
0x19	0x0019	#END OF MEDIUM
0x1A	0x0092	#CONTROL
0x1B	0x008F	#CONTROL
0x1C	0x001C	#FILE SEPARATOR
0x1D	0x001D	#GROUP SEPARATOR
0x1E	0x001E	#RECORD SEPARATOR
0x1F	0x001F	#UNIT SEPARATOR
0x20	0x0080	#CONTROL
0x21	0x0081	#CONTROL
0x22	0x0082	#CONTROL
0x23	0x0083	#CONTROL
0x24	0x0084	#CONTROL
0x25	0x000A	#LINE FEED
0x26	0x0017	#END OF TRANSMISSION BLOCK
0x27	0x001B	#ESCAPE
0x28	0x0088	#CONTROL
0x29	0x0089	#CONTROL
0x2A	0x008A	#CONTROL
0x2B	0x008B	#CONTROL
0x2C	0x008C	#CONTROL
0x2D	0x0005	#ENQUIRY
0x2E	0x0006	#ACKNOWLEDGE
0x2F	0x0007	#BELL
0x30	0x0090	#CONTROL
0x31	0x0091	#CONTROL
0x32	0x0016	#SYNCHRONOUS IDLE
0x33	0x0093	#CONTROL
0x34	0x0094	#CONTROL
0x35	0x0095	#CONTROL
0x36	0x0096	#CONTROL
0x37	0x0004	#END OF TRANSMISSION
0x38	0x0098	#CONTROL
0x39	0x0099	#CONTROL
0x3A	0x009A	#CONTROL
0x3B	0x009B	#CONTROL
0x3C	0x0014	#DEVICE CONTROL FOUR
0x3D	0x0015	#NEGATIVE ACKNOWLEDGE
0x3E	0x009E	#CONTROL
0x3F	0x001A	#SUBSTITUTE
0x40	0x0020	#SPACE
0x41	0xF8F1 	#LATIN CAPITAL LETTER A UNDERBAR
0x42	0xF8EF 	#LATIN CAPITAL LETTER B UNDERBAR
0x43	0xF8ED 	#LATIN CAPITAL LETTER C UNDERBAR
0x44	0xF8EB 	#LATIN CAPITAL LETTER D UNDERBAR
0x45	0xF8E9 	#LATIN CAPITAL LETTER E UNDERBAR
0x46	0xF8E7 	#LATIN CAPITAL LETTER F UNDERBAR
0x47	0xF8E5 	#LATIN CAPITAL LETTER G UNDERBAR
0x48	0xF8E3 	#LATIN CAPITAL LETTER H UNDERBAR
0x49	0xF8E1 	#LATIN CAPITAL LETTER I UNDERBAR
0x4A	0x00A2	#CENT SIGN
0x4B	0x002E	#FULL STOP
0x4C	0x003C	#LESS-THAN SIGN
0x4D	0x0028	#LEFT PARENTHESIS
0x4E	0x002B	#PLUS SIGN
0x4F	0x007C	#VERTICAL LINE
0x50	0x0026	#AMPERSAND
0x51	0xF8DF 	#LATIN CAPITAL LETTER J UNDERBAR
0x52	0xF8DD 	#LATIN CAPITAL LETTER K UNDERBAR
0x53	0xF8DB 	#LATIN CAPITAL LETTER L UNDERBAR
0x54	0xF8D9 	#LATIN CAPITAL LETTER M UNDERBAR
0x55	0xF8D7 	#LATIN CAPITAL LETTER N UNDERBAR
0x56	0xF8D5 	#LATIN CAPITAL LETTER O UNDERBAR
0x57	0xF8D3 	#LATIN CAPITAL LETTER P UNDERBAR
0x58	0xF8D1 	#LATIN CAPITAL LETTER Q UNDERBAR
0x59	0xF8CF 	#LATIN CAPITAL LETTER R UNDERBAR
0x5A	0x0021	#EXCLAMATION MARK
0x5B	0x0024	#DOLLAR SIGN
0x5C	0x002A	#ASTERISK
0x5D	0x0029	#RIGHT PARENTHESIS
0x5E	0x003B	#SEMICOLON
0x5F	0x00AC	#NOT SIGN
0x60	0x002D	#HYPHEN-MINUS
0x61	0x002F	#SOLIDUS
0x62	0xF8CD 	#LATIN CAPITAL LETTER S UNDERBAR
0x63	0xF8CB 	#LATIN CAPITAL LETTER T UNDERBAR
0x64	0xF8C9 	#LATIN CAPITAL LETTER U UNDERBAR
0x65	0xF8C7 	#LATIN CAPITAL LETTER V UNDERBAR
0x66	0xF8C5 	#LATIN CAPITAL LETTER W UNDERBAR
0x67	0xF8C3 	#LATIN CAPITAL LETTER X UNDERBAR
0x68	0xF8C1 	#LATIN CAPITAL LETTER Y UNDERBAR
0x69	0xF8BF 	#LATIN CAPITAL LETTER Z UNDERBAR
0x6A	0x00A6	#BROKEN BAR
0x6B	0x002C	#COMMA
0x6C	0x0025	#PERCENT SIGN
0x6D	0x005F	#LOW LINE
0x6E	0x003E	#GREATER-THAN SIGN
0x6F	0xF888	#APL FUNCTIONAL SYMBOL QUERY
0x70  0x22C4	#DIAMOND OPERATOR
0x71  0x2227	#LOGICAL AND
0x72	0x00A8	#DIAERESIS
0x73	0x233B	#APL FUNCTIONAL SYMBOL QUAD JOT
0x74  0x2378	#APL FUNCTIONAL SYMBOL IOTA UNDERBAR
0x75  0x2377	#APL FUNCTIONAL SYMBOL EPSILON UNDERBAR
0x76	0x22A2	#LEFT TACK
0x77	0x22A3	#RIGHT TACK
0x78	0x2228	#LOGICAL OR
0x79	0x0060	#GRAVE ACCENT
0x7A	0x003A	#COLON
0x7B	0x0023	#NUMBER SIGN
0x7C	0x0040	#COMMERCIAL AT
0x7D	0x0027	#APOSTROPHE
0x7E	0x003D	#EQUALS SIGN
0x7F	0x0022	#QUOTATION MARK
0x80	0xF88F	#APL FUNCTIONAL SYMBOL TILDE
0x81	0x0061	#LATIN SMALL LETTER A
0x82	0x0062	#LATIN SMALL LETTER B
0x83	0x0063	#LATIN SMALL LETTER C
0x84	0x0064	#LATIN SMALL LETTER D
0x85	0x0065	#LATIN SMALL LETTER E
0x86	0x0066	#LATIN SMALL LETTER F
0x87	0x0067	#LATIN SMALL LETTER G
0x88	0x0068	#LATIN SMALL LETTER H
0x89	0x0069	#LATIN SMALL LETTER I
0x8A	0x2191	#UPWARDS ARROW
0x8B	0x2193	#DOWNWARDS ARROW
0x8C  0x2264	#LESS-THAN OR EQUAL TO
0x8D	0x2308	#LEFT CEILING
0x8E	0x230A	#LEFT FLOOR
0x8F	0x2192	#RIGHTWARDS ARROW
0x90	0x2395	#APL FUNCTIONAL SYMBOL QUAD
0x91	0x006A	#LATIN SMALL LETTER J
0x92	0x006B	#LATIN SMALL LETTER K
0x93	0x006C	#LATIN SMALL LETTER L
0x94	0x006D	#LATIN SMALL LETTER M
0x95	0x006E	#LATIN SMALL LETTER N
0x96	0x006F	#LATIN SMALL LETTER O
0x97	0x0070	#LATIN SMALL LETTER P
0x98	0x0071	#LATIN SMALL LETTER Q
0x99	0x0072	#LATIN SMALL LETTER R
0x9A  0x2283	#SUPERSET OF
0x9B	0x2282	#SUBSET OF
0x9C	    #UNDEFINED
0x9D	0x25CB	#WHITE CIRCLE
0x9E	    #UNDEFINED
0x9F  0x2190	#LEFTWARDS ARROW
0xA0	0x203E	#OVERLINE
0xA1	0x007E	#TILDE
0xA2	0x0073	#LATIN SMALL LETTER S
0xA3	0x0074	#LATIN SMALL LETTER T
0xA4	0x0075	#LATIN SMALL LETTER U
0xA5	0x0076	#LATIN SMALL LETTER V
0xA6	0x0077	#LATIN SMALL LETTER W
0xA7	0x0078	#LATIN SMALL LETTER X
0xA8	0x0079	#LATIN SMALL LETTER Y
0xA9	0x007A	#LATIN SMALL LETTER Z
0xAA	0x2229	#INTERSECTION
0xAB	0x222A	#UNION
0xAC	0x22A5	#UP TACK
0xAD	0x005B	#LEFT SQUARE BRACKET
0xAE	0x2265	#GREATER-THAN OR EQUAL TO
0xAF	0x2218	#RING OPERATOR
0xB0	0x237A	#APL FUNCTIONAL SYMBOL ALPHA
0xB1	0x220A	#SMALL ELEMENT OF
0xB2	0x2373	#APL FUNCTIONAL SYMBOL IOTA
0xB3	0x2374	#APL FUNCTIONAL SYMBOL RHO
0xB4  0x2375	#APL FUNCTIONAL SYMBOL OMEGA
0xB5	    #UNDEFINED
0xB6	0x00D7	#MULTIPLICATION SIGN
0xB7	0xF889	#APL FUNCTIONAL SYMBOL SLOPE
