#Note: This mapping table is made by me.

0xBD	0x2211	#N-ARY SUMMATION
0xBE	0x239B	#LEFT PARENTHESIS UPPER HOOK (3.2)- PREVIOUSLY 0xF8AE IN THE PUA
0xBF	0x239C	#LEFT PARENTHESIS EXTENSION (3.2)- PREVIOUSLY 0xF8A0 IN THE PUA
0xC0	0x007B	#LEFT CURLY BRACKET
0xC1	0x0391	#GREEK CAPITAL LETTER ALPHA
0xC2	0x0392	#GREEK CAPITAL LETTER BETA
0xC3	0x03A7	#GREEK CAPITAL LETTER CHI
0xC4	0x0394	#GREEK CAPITAL LETTER DELTA
0xC5	0x0395	#GREEK CAPITAL LETTER EPSILON
0xC6	0x03A6	#GREEK CAPITAL LETTER PHI
0xC7	0x0393	#GREEK CAPITAL LETTER GAMMA
0xC8	0x0397	#GREEK CAPITAL LETTER ETA
0xC9	0x0399	#GREEK CAPITAL LETTER IOTA
0xCA	0x239D	#LEFT PARENTHESIS LOWER HOOK (3.2)- PREVIOUSLY 0xF8AD IN THE PUA
0xCB	0x23A1	#LEFT SQUARE BRACKET UPPER CORNER (3.2)- PREVIOUSLY 0xF8AA IN THE PUA
0xCC	0x23A2	#LEFT SQUARE BRACKET EXTENSION (3.2)- PREVIOUSLY 0xF89E IN THE PUA
0xCD	0x23A3	#LEFT SQUARE BRACKET LOWER CORNER (3.2)- PREVIOUSLY 0xF8A9 IN THE PUA
0xCE	0x23A7	#LEFT CURLY BRACKET UPPER HOOK (3.2)- PREVIOUSLY 0xF8A6 IN THE PUA
0xCF	0x23A8	#LEFT CURLY BRACKET EXTENSION (3.2)- PREVIOUSLY 0xF8A5 IN THE PUA
0xD0	0x007D	#RIGHT CURLY BRACKET
0xD1	0x03D1	#GREEK THETA SYMBOL
0xD2	0x039A	#GREEK CAPITAL LETTER KAPPA
0xD3	0x039B	#GREEK CAPITAL LETTER LAMDA
0xD4	0x039C	#GREEK CAPITAL LETTER MU
0xD5	0x039D	#GREEK CAPITAL LETTER NU
0xD6	0x039F	#GREEK CAPITAL LETTER OMICRON
0xD7	0x03A0	#GREEK CAPITAL LETTER PI
0xD8	0x0398	#GREEK CAPITAL LETTER THETA
0xD9	0x03A1	#GREEK CAPITAL LETTER RHO
0xDA	0x23A9	#LEFT CURLY BRACKET LOWER HOOK (3.2)- PREVIOUSLY 0xF8A4 IN THE PUA
0xDB	0x23AA	#CURLY BRACKET EXTENSION (3.2)- PREVIOUSLY 0xF89C IN THE PUA
0xDC	    #UNDEFINED
0xDD	0x27E9	#MATHEMATICAL RIGHT ANGLE BRACKET (3.2)- PREVIOUSLY 0x232A RIGHT-POINTING ANGLE BRACKET
0xDE	0x222B	#INTEGRAL
0xDF	0x2320	#TOP HALF INTEGRAL
0xE0	0x2234	#THEREFORE
0xE1	0x2007	#FIGURE SPACE
0xE2	0x03A3	#GREEK CAPITAL LETTER SIGMA
0xE3	0x03A4	#GREEK CAPITAL LETTER TAU
0xE4	0x03A5	#GREEK CAPITAL LETTER UPSILON
0xE5	0x03C2	#GREEK SMALL LETTER FINAL SIGMA
0xE6	0x03A9	#GREEK CAPITAL LETTER OMEGA
0xE7	0x039E	#GREEK CAPITAL LETTER XI
0xE8	0x03A8	#GREEK CAPITAL LETTER PSI
0xE9	0x0396	#GREEK CAPITAL LETTER ZETA
0xEA	0x23AE	#INTERGRAL EXTENSION (3.2)- PREVIOUSLY 0xF89B IN THE PUA
0xEB	0x2321	#BOTTOM HALF INTEGRAL
0xEC	0x239E	#RIGHT PARENTHESIS UPPER HOOK (3.2)- PREVIOUSLY 0xF8AC IN THE PUA
0xED	0x239F	#RIGHT PARENTHESIS EXTENSION (3.2)- PREVIOUSLY 0xF89F IN THE PUA
0xEE	0x23A0	#RIGHT PARENTHESIS LOWER HOOK (3.2)- PREVIOUSLY 0xF8AB IN THE PUA
0xEF	0x23A4	#RIGHT SQUARE BRACKET UPPER CORNER (3.2)- PREVIOUSLY 0xF8A8 IN THE PUA
0xF0	0x0030	#DIGIT ZERO
0xF1	0x0031	#DIGIT ONE
0xF2	0x0032	#DIGIT TWO
0xF3	0x0033	#DIGIT THREE
0xF4	0x0034	#DIGIT FOUR
0xF5	0x0035	#DIGIT FIVE
0xF6	0x0036	#DIGIT SIX
0xF7	0x0037	#DIGIT SEVEN
0xF8	0x0038	#DIGIT EIGHT
0xF9	0x0039	#DIGIT NINE
0xFA	0x23A5	#RIGHT SQUARE BRACKET EXTENSION (3.2)- PREVIOUSLY 0xF89D IN THE PUA
0xFB	0x23A6	#RIGHT SQUARE BRACKET LOWER HOOK (3.2)- PREVIOUSLY 0xF8A7 IN THE PUA
0xFC	0x23AB	#LEFT CURLY BRACKET UPPER HOOK (3.2)- PREVIOUSLY 0xF8A3 IN THE PUA
0xFD	0x23AC	#LEFT CURLY BRACKET EXTENSION (3.2)- PREVIOUSLY 0xF8A2 IN THE PUA
0xFE	0x23AD	#LEFT CURLY BRACKET LOWER HOOK (3.2)- PREVIOUSLY 0xF8A1 IN THE PUA
0xFF	0x009F	#CONTROL


