#Note: This mapping table is made by me. Not everything is in Unicode- PUA mappings included.

0x00	0x0000	#NULL
0x01	0x0001	#START OF HEADING
0x02	0x0002	#START OF TEXT
0x03	0x0003	#END OF TEXT
0x04	0x009C	#CONTROL
0x05	0x0009	#HORIZONTAL TABULATION
0x06	0x0086	#CONTROL
0x07	0x007F	#DELETE
0x08	0x0097	#CONTROL
0x09	0x008D	#CONTROL
0x0A	0x008E	#CONTROL
0x0B	0x000B	#VERTICAL TABULATION
0x0C	0x000C	#FORM FEED
0x0D	0x000D	#CARRIAGE RETURN
0x0E	0x000E	#SHIFT OUT
0x0F	0x000F	#SHIFT IN
0x10	0x0010	#DATA LINK ESCAPE
0x11	0x0011	#DEVICE CONTROL ONE
0x12	0x0012	#DEVICE CONTROL TWO
0x13	0x0013	#DEVICE CONTROL THREE
0x14	0x009D	#CONTROL
0x15	0x0085	#CONTROL
0x16	0x0008	#BACKSPACE
0x17	0x0087	#CONTROL
0x18	0x0018	#CANCEL
0x19	0x0019	#END OF MEDIUM
0x1A	0x0092	#CONTROL
0x1B	0x008F	#CONTROL
0x1C	0x001C	#FILE SEPARATOR
0x1D	0x001D	#GROUP SEPARATOR
0x1E	0x001E	#RECORD SEPARATOR
0x1F	0x001F	#UNIT SEPARATOR
0x20	0x0080	#CONTROL
0x21	0x0081	#CONTROL
0x22	0x0082	#CONTROL
0x23	0x0083	#CONTROL
0x24	0x0084	#CONTROL
0x25	0x000A	#LINE FEED
0x26	0x0017	#END OF TRANSMISSION BLOCK
0x27	0x001B	#ESCAPE
0x28	0x0088	#CONTROL
0x29	0x0089	#CONTROL
0x2A	0x008A	#CONTROL
0x2B	0x008B	#CONTROL
0x2C	0x008C	#CONTROL
0x2D	0x0005	#ENQUIRY
0x2E	0x0006	#ACKNOWLEDGE
0x2F	0x0007	#BELL
0x30	0x0090	#CONTROL
0x31	0x0091	#CONTROL
0x32	0x0016	#SYNCHRONOUS IDLE
0x33	0x0093	#CONTROL
0x34	0x0094	#CONTROL
0x35	0x0095	#CONTROL
0x36	0x0096	#CONTROL
0x37	0x0004	#END OF TRANSMISSION
0x38	0x0098	#CONTROL
0x39	0x0099	#CONTROL
0x3A	0x009A	#CONTROL
0x3B	0x009B	#CONTROL
0x3C	0x0014	#DEVICE CONTROL FOUR
0x3D	0x0015	#NEGATIVE ACKNOWLEDGE
0x3E	0x009E	#CONTROL
0x3F	0x001A	#SUBSTITUTE
0x40	0x0020	#SPACE
0x41	    #UNDEFINED
0x42	0x003D	#EQUALS SIGN
0x43	0x2013	#EN DASH
0x44	0x002B	#PLUS SIGN
0x45	0x2038	#CARET
0x46	0x2236	#RATIO
0x47	0xF874	#ITALIC SMALL F- MAYBE 0x1D453 OR SIMILAR
0x48	0x210A	#SCRIPT SMALL G
0x49	0x2112	#SCRIPT CAPITAL L
0x4A	0x211B	#SCRIPT CAPITAL R
0x4B	0x25CB	#WHITE CIRCLE
0x4C	0x25C7	#WHITE DIAMOND
0x4D	0x25B3	#WHITE UP POINTING-TRINGLE
0x4E	0x00A9	#COPYRIGHT SIGN
0x4F	0x221A	#SQUARE ROOT
0x50	0x2264	#LESS-THAN OR EQUAL TO
0x51	0x2605	#BLACK STAR
0x52	0x2105	#CARE OF
0x53	0x2100	#ACCOUNT OF
0x54	0x211E	#PRESCRIPTION TAKE
0x55	0x22F6	#ELEMENT OF WITH OVERBAR (3.2)- PREVIOUSLY MAPPED TO 0xFFFF6 IN THE SPA-A
0x56	0x2234	#THEREFORE
0x57	0x2197	#NORTH EAST ARROW
0x58	0x2198	#SOUTH EAST ARROW
0x59	0x2440	#OCR HOOK
0x5A	0x2442	#OCR FORK
0x5B	0x2441	#OCR CHAIR
0x5C	0x2260	#NOT EQUAL TO
0x5D	0x226C	#BETWEEN
0x5E	0x00AE	#REGISTERED SIGN
0x5F	0x005E	#CIRCUMFLEX ACCENT
0x60	0x002D	#HYPHEN-MINUS
0x61	0x2265	#GREATER-THAN OR EQUAL TO
0x62	0x0104	#LATIN CAPITAL LETTER A WITH OGONEK
0x63	0x0105	#LATIN SMALL LETTER A WITH OGONEK
0x64	0x2225	#PARALLEL TO
0x65	0x2220	#ANGLE
0x66	0x2235	#BECAUSE
0x67	0x0141	#LATIN CAPITAL LETTER L WITH STROKE
0x68	0x0142	#LATIN SMALL LETTER L WITH STROKE
0x69	0x2311	#SQUARE LOZENGE
0x6A	0x2032	#PRIME
0x6B	0x2640	#FEMALE SIGN
0x6C	0x2642	#MALE SIGN
0x6D	0x00D0	#LATIN CAPITAL LETTER ETH (ICELANDIC)
0x6E	0x00F0	#LATIN SMALL LETTER ETH (ICELANDIC)
0x6F	0x222B	#INTEGRAL
0x70	0x2229	#INTERSECTION
0x71	0x222A	#UNION
0x72	0x2282	#SUBSET OF
0x73	0x2283	#SUPERSET OF
0x74	0x2295	#CIRCLED PLUS
0x75	0xF8F2	#SUPERSCRIPT LATIN SMALL LETTER A
0x76	0xF8F0	#SUPERSCRIPT LATIN SMALL LETTER B
0x77	0xF8EE	#SUPERSCRIPT LATIN SMALL LETTER C
0x78	0xF8EC	#SUPERSCRIPT LATIN SMALL LETTER D
0x79	0x0060	#GRAVE ACCENT
0x7A	0x00F7	#DIVISION SIGN
0x7B	0x00B1	#PLUS-MINUS SIGN
0x7C	0xF8EA	#SUPERSCRIPT LATIN SMALL LETTER E
0x7D	0xF8E8	#SUPERSCRIPT LATIN SMALL LETTER F
0x7E	0x2033	#DOUBLE PRIME
0x7F	0xF8E6	#SUPERSCRIPT LATIN SMALL LETTER G
0x80	0xF8E4	#SUPERSCRIPT LATIN SMALL LETTER H
0x81	0x03B1	#GREEK SMALL LETTER ALPHA
0x82	0x03B2	#GREEK SMALL LETTER BETA
0x83	0x03C8	#GREEK SMALL LETTER PSI
0x84	0x03C6	#GREEK SMALL LETTER PHI
0x85	0x03B5	#GREEK SMALL LETTER EPSILON
0x86	0x03C0	#GREEK SMALL LETTER PI
0x87	0x03BB	#GREEK SMALL LETTER LAMDA
0x88	0x03B7	#GREEK SMALL LETTER ETA
0x89	0x03B9	#GREEK SMALL LETTER IOTA
0x8A	    #UNDEFINED
0x8B	    #UNDEFINED
0x8C	    #UNDEFINED
0x8D	0x2071	#SUPERSCRIPT LATIN SMALL LETTER I (3.2)- PREVIOUSLY MAPPED TO 0xF8E2 in the PUA
0x8E	0xF8E0	#SUPERSCRIPT LATIN SMALL LETTER J
0x8F	0xF8DE	#SUPERSCRIPT LATIN SMALL LETTER K
0x90	0xF8DC	#SUPERSCRIPT LATIN SMALL LETTER L
0x91	0xF8DA	#SUPERSCRIPT LATIN SMALL LETTER M
0x92	0x03BA	#GREEK SMALL LETTER KAPPA
0x93	0x03C9	#GREEK SMALL LETTER OMEGA
0x94	0x03BC	#GREEK SMALL LETTER MU
0x95	0x03BD	#GREEK SMALL LETTER NU
0x96	0x03BF	#GREEK SMALL LETTER OMICRON
0x97	0x03C1	#GREEK SMALL LETTER RHO
0x98	0x03B3	#GREEK SMALL LETTER GAMMA
0x99	0x03B8	#GREEK SMALL LETTER THETA
0x9A		    #UNDEFINED
0x9B		    #UNDEFINED
0x9C		    #UNDEFINED
0x9D	0x2122	#TRADE MARK SIGN
0x9E	0x207F	#SUPERSCRIPT LATIN SMALL LETTER N
0x9F	0xF8D6	#SUPERSCRIPT LATIN SMALL LETTER O
0xA0	0x2240	#APPROXIMATELY EQUAL TO
0xA1	0x007E	#TILDE
0xA2	0x03C3	#GREEK SMALL LETTER SIGMA
0xA3	0x03C4	#GREEK SMALL LETTER TAU
0xA4	0x03BE	#GREEK SMALL LETTER XI
0xA5	0x00D7	#MULTIPLICATION SIGN
0xA6	0x03B4	#GREEK SMALL LETTER DELTA
0xA7	0x03C7	#GREEK SMALL LETTER CHI
0xA8	0x03C5	#GREEK SMALL LETTER UPSILON
0xA9	0x03B6	#GREEK SMALL LETTER ZETA
0xAA		    #UNDEFINED
0xAB		    #UNDEFINED
0xAC		    #UNDEFINED
0xAD	0xF8D4	#SUPERSCRIPT LATIN SMALL LETTER P
0xAE	0xF8D2	#SUPERSCRIPT LATIN SMALL LETTER Q
0xAF	0xF8D0	#SUPERSCRIPT LATIN SMALL LETTER R
0xB0	0xF8CE	#SUPERSCRIPT LATIN SMALL LETTER S
0xB1	0xF8CC	#SUPERSCRIPT LATIN SMALL LETTER T
0xB2	0xF8CA	#SUPERSCRIPT LATIN SMALL LETTER U
0xB3	0xF8C8	#SUPERSCRIPT LATIN SMALL LETTER V
0xB4	0xF8C6	#SUPERSCRIPT LATIN SMALL LETTER W
0xB5	0xF8C4	#SUPERSCRIPT LATIN SMALL LETTER X
