#Note: This mapping table is made by me. For the original version, see Code Page 1024.
#There may be more accented characters available, like K and V with dot below.

0x76	0x2191	#UPWARDS ARROW
0x77	0x2192	#RIGHTWARDS ARROW
0x78	0x2193	#DOWNWARDS ARROW
0x79	0x0060	#GRAVE ACCENT
0x79 0x81	0x00E0	#LATIN SMALL LETTER A WITH GRAVE
0x79 0x85	0x00E8	#LATIN SMALL LETTER E WITH GRAVE
0x79 0x89	0x00EC	#LATIN SMALL LETTER I WITH GRAVE
0x79 0x96	0x00F2	#LATIN SMALL LETTER O WITH GRAVE
0x79 0xA4	0x00F9	#LATIN SMALL LETTER U WITH GRAVE
0x79 0xC1	0x00C0	#LATIN CAPITAL LETTER A WITH GRAVE
0x79 0xC5	0x00C8	#LATIN CAPITAL LETTER E WITH GRAVE
0x79 0xC9	0x00CC	#LATIN CAPITAL LETTER I WITH GRAVE
0x79 0xD6	0x00D2	#LATIN CAPITAL LETTER O WITH GRAVE
0x79 0xE4	0x00D9	#LATIN CAPITAL LETTER U WITH GRAVE
0x7A	0x003A	#COLON
0x7B	0x0023	#NUMBER SIGN
0x7C	0x0040	#COMMERCIAL AT
0x7D	0x0027	#APOSTROPHE
0x7E	0x003D	#EQUALS SIGN
0x7F	0x0022	#QUOTATION MARK
0x80	0x00D8	#LATIN CAPITAL LETTER O WITH STROKE
0x81	0x0061	#LATIN SMALL LETTER A
0x82	0x0062	#LATIN SMALL LETTER B
0x83	0x0063	#LATIN SMALL LETTER C
0x84	0x0064	#LATIN SMALL LETTER D
0x85	0x0065	#LATIN SMALL LETTER E
0x86	0x0066	#LATIN SMALL LETTER F
0x87	0x0067	#LATIN SMALL LETTER G
0x88	0x0068	#LATIN SMALL LETTER H
0x89	0x0069	#LATIN SMALL LETTER I
0x8A	0x00AB	#LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
0x8B	0x00BB	#RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
0x8C	0x00F0	#LATIN SMALL LETTER ETH (ICELANDIC)
0x8D	0x02DD	#DOUBLE ACUTE ACCENT
0x8D 0x96	0x0151	#LATIN SMALL LETTER O WITH DOUBLE ACUTE
0x8D 0xA4	0x0171	#LATIN SMALL LETTER U WITH DOUBLE ACUTE
0x8D 0xD6	0x0150	#LATIN CAPITAL LETTER O WITH DOUBLE ACUTE
0x8D 0xE4	0x0170	#LATIN CAPITAL LETTER U WITH DOUBLE ACUTE
0x8E	0x00FE	#LATIN SMALL LETTER THORN (ICELANDIC)
0x8F	0x00B1	#PLUS-MINUS SIGN
0x90	0x00B0	#DEGREE SIGN
0x91	0x006A	#LATIN SMALL LETTER J
0x92	0x006B	#LATIN SMALL LETTER K
0x93	0x006C	#LATIN SMALL LETTER L
0x94	0x006D	#LATIN SMALL LETTER M
0x95	0x006E	#LATIN SMALL LETTER N
