#Note: This Polytonic Greek mapping was made by me from the paratype.com archive.

0x75	0x1fdf	#GREEK DASIA AND PERISPOMENI
0x76	0x1f07	#GREEK SMALL LETTER ALPHA WITH DASIA AND PERISPOMENI
0x77	0x1f27	#GREEK SMALL LETTER ETA WITH DASIA AND PERISPOMENI
0x78	0x1f37	#GREEK SMALL LETTER IOTA WITH DASIA AND PERISPOMENI
0x79	0x1f57	#GREEK SMALL LETTER UPSILON WITH DASIA AND PERISPOMENI
0x7a	0x1f67	#GREEK SMALL LETTER OMEGA WITH DASIA AND PERISPOMENI
0x7b	0x007b	#LEFT CURLY BRACKET
0x7c	0x007c	#VERTICAL LINE
0x7d	0x007d	#RIGHT CURLY BRACKET
0x7e	0x1fc0	#GREEK PERISPOMENI
0x7f	0x007f	#DELETE
0x80	0x1fb6	#GREEK SMALL LETTER ALPHA WITH PERISPOMENI
0x81	0x00b9	#SUPERSCRIPT ONE
0x82	0x00b2	#SUPERSCRIPT TWO
0x83	0x1fc6	#GREEK SMALL LETTER ETA WITH PERISPOMENI
0x84	0x00b3	#SUPERSCRIPT THREE
0x85	0x1fd6	#GREEK SMALL LETTER IOTA WITH PERISPOMENI
0x86	0x1fe6	#GREEK SMALL LETTER UPSILON WITH PERISPOMENI
0x87	0x1ff6	#GREEK SMALL LETTER OMEGA WITH PERISPOMENI
0x88	0x1f00	#GREEK SMALL LETTER ALPHA WITH PSILI
0x89	0x1f10	#GREEK SMALL LETTER EPSILON WITH PSILI
0x8a	0x1f20	#GREEK SMALL LETTER ETA WITH PSILI
0x8b	0x1ffd	#GREEK OXIA
0x8c	0x1f30	#GREEK SMALL LETTER IOTA WITH PSILI
0x8d	0x1f40	#GREEK SMALL LETTER OMICRON WITH PSILI
0x8e	0x1f50	#GREEK SMALL LETTER UPSILON WITH PSILI
0x8f	0x1f60	#GREEK SMALL LETTER OMEGA WITH PSILI
0x90	0x1f01	#GREEK SMALL LETTER ALPHA WITH DASIA
0x91	0x1f11	#GREEK SMALL LETTER EPSILON WITH DASIA
0x92	0x1f13	#GREEK SMALL LETTER EPSILON WITH DASIA AND VARIA
0x93	0x1f21	#GREEK SMALL LETTER ETA WITH DASIA
0x94	0x1f31	#GREEK SMALL LETTER IOTA WITH DASIA
0x95	0x1f41	#GREEK SMALL LETTER OMICRON WITH DASIA
0x96	0x1f51	#GREEK SMALL LETTER UPSILON WITH DASIA
0x97	0x1f61	#GREEK SMALL LETTER OMEGA WITH DASIA
0x98	0x1fce	#GREEK PSILI AND OXIA
0x99	0x1f04	#GREEK SMALL LETTER ALPHA WITH PSILI AND OXIA
0x9a	0x1f14	#GREEK SMALL LETTER EPSILON WITH PSILI AND OXIA
0x9b	0x1f24	#GREEK SMALL LETTER ETA WITH PSILI AND OXIA
0x9c	0x1f34	#GREEK SMALL LETTER IOTA WITH PSILI AND OXIA
0x9d	0x1f44	#GREEK SMALL LETTER OMICRON WITH PSILI AND OXIA
0x9e	0x1f54	#GREEK SMALL LETTER UPSILON WITH PSILI AND OXIA
0x9f	0x1f64	#GREEK SMALL LETTER OMEGA WITH PSILI AND OXIA
0xa0	0x2020	#DAGGER
0xa1	0x0393	#GREEK CAPITAL LETTER GAMMA
0xa2	0x0394	#GREEK CAPITAL LETTER DELTA
0xa3	0x0398	#GREEK CAPITAL LETTER THETA
0xa4	0x039b	#GREEK CAPITAL LETTER LAMDA
0xa5	0x039e	#GREEK CAPITAL LETTER XI
0xa6	0x03a0	#GREEK CAPITAL LETTER PI
0xa7	0x03d0	#GREEK BETA SYMBOL
0xa8	0x1fe5	#GREEK SMALL LETTER RHO WITH DASIA
0xa9	0x03d1	#GREEK THETA SYMBOL
0xaa	0x03a3	#GREEK CAPITAL LETTER SIGMA
0xab	0x03aa	#GREEK CAPITAL LETTER IOTA WITH DIALYTIKA
0xac	0x00a7	#SECTION SIGN
0xad	0x1fde	#GREEK DASIA AND OXIA
0xae	0x03b5	#GREEK PHI SYMBOL
0xaf	0x0387	#GREEK ANO TELEIA
0xb0	0x0391	#GREEK CAPITAL LETTER ALPHA
0xb1	0x1f05	#GREEK SMALL LETTER ALPHA WITH DASIA AND OXIA
0xb2	0x1f15	#GREEK SMALL LETTER EPSILON WITH DASIA AND OXIA
0xb3	0x1f25	#GREEK SMALL LETTER ETA WITH DASIA AND OXIA
0xb4	0x1f35	#GREEK SMALL LETTER IOTA WITH DASIA AND OXIA
0xb5	0x0392	#GREEK CAPITAL LETTER BETA
0xb6	0x0395	#GREEK CAPITAL LETTER EPSILON
0xb7	0x0396	#GREEK CAPITAL LETTER ZETA
0xb8	0x0397	#GREEK CAPITAL LETTER ETA
0xb9	0x0399	#GREEK CAPITAL LETTER IOTA
0xba	0x039a	#GREEK CAPITAL LETTER KAPPA
0xbb	0x039c	#GREEK CAPITAL LETTER MU
0xbc	0x03a6	#GREEK CAPITAL LETTER PHI
0xbd	0x03ab	#GREEK CAPITAL LETTER UPSILON WITH DIALYTIKA
