#Note: This Polytonic Greek mapping was made by me from the paratype.com archive.

0x00	0x0000	#NULL
0x01	0x0001	#START OF HEADING
0x02	0x0002	#START OF TEXT
0x03	0x0003	#END OF TEXT
0x04	0x0004	#END OF TRANSMISSION
0x05	0x0005	#ENQUIRY
0x06	0x0006	#ACKNOWLEDGE
0x07	0x0007	#BELL
0x08	0x0008	#BACKSPACE
0x09	0x0009	#HORIZONTAL TABULATION
0x0A	0x000A	#LINE FEED
0x0B	0x000B	#VERTICAL TABULATION
0x0C	0x000C	#FORM FEED
0x0D	0x000D	#CARRIAGE RETURN
0x0E	0x000E	#SHIFT OUT
0x0F	0x000F	#SHIFT IN
0x10	0x0010	#DATA LINK ESCAPE
0x11	0x0011	#DEVICE CONTROL ONE
0x12	0x0012	#DEVICE CONTROL TWO
0x13	0x0013	#DEVICE CONTROL THREE
0x14	0x0014	#DEVICE CONTROL FOUR
0x15	0x0015	#NEGATIVE ACKNOWLEDGE
0x16	0x0016	#SYNCHRONOUS IDLE
0x17	0x0017	#END OF TRANSMISSION BLOCK
0x18	0x0018	#CANCEL
0x19	0x0019	#END OF MEDIUM
0x1A	0x001A	#SUBSTITUTE
0x1B	0x001B	#ESCAPE
0x1C	0x001C	#FILE SEPARATOR
0x1D	0x001D	#GROUP SEPARATOR
0x1E	0x001E	#RECORD SEPARATOR
0x1F	0x001F	#UNIT SEPARATOR
0x20	0x0020	#SPACE
0x21	0x0021	#EXCLAMATION MARK
0x22	0x0022	#QUOTATION MARK
0x23	0x0023	#NUMBER SIGN
0x24	0x0024	#DOLLAR SIGN
0x25	0x0025	#PERCENT SIGN
0x26	0x0026	#AMPERSAND
0x27	0x0027	#APOSTROPHE
0x28	0x0028	#LEFT PARENTHESIS
0x29	0x0029	#RIGHT PARENTHESIS
0x2A	0x002A	#ASTERISK
0x2B	0x002B	#PLUS SIGN
0x2C	0x002C	#COMMA
0x2D	0x002D	#HYPHEN-MINUS
0x2E	0x002E	#FULL STOP
0x2F	0x002F	#SOLIDUS
0x30	0x0030	#DIGIT ZERO
0x31	0x0031	#DIGIT ONE
0x32	0x0032	#DIGIT TWO
0x33	0x0033	#DIGIT THREE
0x34	0x0034	#DIGIT FOUR
0x35	0x0035	#DIGIT FIVE
0x36	0x0036	#DIGIT SIX
0x37	0x0037	#DIGIT SEVEN
0x38	0x0038	#DIGIT EIGHT
0x39	0x0039	#DIGIT NINE
0x3A	0x003A	#COLON
0x3B	0x003B	#SEMICOLON
0x3C	0x003C	#LESS-THAN SIGN
0x3D	0x003D	#EQUALS SIGN
0x3E	0x003E	#GREATER-THAN SIGN
0x3F	0x003F	#QUESTION MARK
0x40	0x00A8	#GREEK DIALYTIKA (DIAERESIS)
0x41	0x1FFD	#GREEK OXIA
0x42	0x1FEF	#GREEK VARIA
0x43	0x1FC0	#GREEK PERISPOMENI
0x44	0x1FBE	#GREEK PROSGEGRAMMENI
0x45	0x1FBF	#GREEK PSILI
0x46	0x1FFE	#GREEK DASIA
0x47	0x1FDE	#GREEK DASIA AND OXIA
0x48	0x1FDD	#GREEK DASIA AND VARIA
0x49	0x1FCE	#GREEK PSILI AND OXIA
0x4A	0x1FCD	#GREEK PSILI AND VARIA
0x4B	0x1FDF	#GREEK DASIA AND PERISPOMENI
0x4C	0x1FCF	#GREEK PSILI AND PERISPOMENI
0x4D	0x1FEE	#GREEK DIALYTIKA AND OXIA
0x4E	0x1F70	#GREEK SMALL LETTER ALPHA WITH VARIA
0x4F	0x1FB6	#GREEK SMALL LETTER ALPHA WITH PERISPOMENI
0x50	0x1F00	#GREEK SMALL LETTER ALPHA WITH PSILI
0x51	0x1F01	#GREEK SMALL LETTER ALPHA WITH DASIA
0x52	0x1F05	#GREEK SMALL LETTER ALPHA WITH DASIA AND OXIA
0x53	0x1F03	#GREEK SMALL LETTER ALPHA WITH DASIA AND VARIA
0x54	0x1F04	#GREEK SMALL LETTER ALPHA WITH PSILI AND OXIA
0x55	0x1F02	#GREEK SMALL LETTER ALPHA WITH PSILI AND VARIA
0x56	0x1F07	#GREEK SMALL LETTER ALPHA WITH DASIA AND PERISPOMENI
0x57	0x1F06	#GREEK SMALL LETTER ALPHA WITH PSILI AND PERISPOMENI
0x58	0x1FB4	#GREEK SMALL LETTER ALPHA WITH OXIA AND YPOGEGRAMMENI
0x59	0x1FB2	#GREEK SMALL LETTER ALPHA WITH VARIA AND YPOGEGRAMMENI
0x5A	0x1FB7	#GREEK SMALL LETTER ALPHA WITH PERISPOMENI AND YPOGEGRAMMENI
0x5B	0x1F80	#GREEK SMALL LETTER ALPHA WITH PSILI AND YPOGEGRAMMENI
0x5C	0x1F81	#GREEK SMALL LETTER ALPHA WITH DASIA AND YPOGEGRAMMENI
0x5D	0x1F85	#GREEK SMALL LETTER ALPHA WITH DASIA AND OXIA AND YPOGEGRAMMENI
0x5E	0x1F83	#GREEK SMALL LETTER ALPHA WITH DASIA AND VARIA AND YPOGEGRAMMENI
0x5F	0x1F84	#GREEK SMALL LETTER ALPHA WITH PSILI AND OXIA AND YPOGEGRAMMENI
0x60	0x1F82	#GREEK SMALL LETTER ALPHA WITH PSILI AND VARIA AND YPOGEGRAMMENI
0x61	0x1F87	#GREEK SMALL LETTER ALPHA WITH DASIA AND PERISPOMENI AND YPOGEGRAMMENI
0x62	0x1F86	#GREEK SMALL LETTER ALPHA WITH PSILI AND PERISPOMENI AND YPOGEGRAMMENI
0x63	0x1F72	#GREEK SMALL LETTER EPSILON WITH VARIA
0x64	0x1F10	#GREEK SMALL LETTER EPSILON WITH PSILI
0x65	0x1F11	#GREEK SMALL LETTER EPSILON WITH DASIA
0x66	0x1F15	#GREEK SMALL LETTER EPSILON WITH DASIA AND OXIA
0x67	0x1F13	#GREEK SMALL LETTER EPSILON WITH DASIA AND VARIA
0x68	0x1F14	#GREEK SMALL LETTER EPSILON WITH PSILI AND OXIA
0x69	0x1F12	#GREEK SMALL LETTER EPSILON WITH PSILI AND VARIA
0x6A	0x1F31	#GREEK SMALL LETTER IOTA WITH DASIA
0x6B	0x1F30	#GREEK SMALL LETTER IOTA WITH PSILI
0x6C	0x1F35	#GREEK SMALL LETTER IOTA WITH DASIA AND OXIA
0x6D	0x1F33	#GREEK SMALL LETTER IOTA WITH DASIA AND VARIA
0x6E	0x1F34	#GREEK SMALL LETTER IOTA WITH PSILI AND OXIA
0x6F	0x1F32	#GREEK SMALL LETTER IOTA WITH PSILI AND VARIA
0x70	0x1F37	#GREEK SMALL LETTER IOTA WITH DASIA AND PERISPOMENI
0x71	0x1F36	#GREEK SMALL LETTER IOTA WITH PSILI AND PERISPOMENI
0x72	0x1F76	#GREEK SMALL LETTER IOTA WITH VARIA
0x73	0x1FD6	#GREEK SMALL LETTER IOTA WITH PERISPOMENI
0x74	0x1FD2	#GREEK SMALL LETTER IOTA WITH DIALYTIKA AND VARIA
0x75	0x1FB3	#GREEK SMALL LETTER ALPHA WITH YPOGEGRAMMENI
0x76	0x1FF3	#GREEK SMALL LETTER OMEGA WITH YPOGEGRAMMENI
0x77	0x1FC3	#GREEK SMALL LETTER ETA WITH YPOGEGRAMMENI
0x78	0x1F74	#GREEK SMALL LETTER ETA WITH VARIA
0x79	0x1FC6	#GREEK SMALL LETTER ETA WITH PERISPOMENI
0x7A	0x1F20	#GREEK SMALL LETTER ETA WITH PSILI
0x7B	0x1F25	#GREEK SMALL LETTER ETA WITH DASIA AND OXIA
0x7C	0x1F23	#GREEK SMALL LETTER ETA WITH DASIA AND VARIA
0x7D	0x1F24	#GREEK SMALL LETTER ETA WITH PSILI AND OXIA
0x7E	0x1F22	#GREEK SMALL LETTER ETA WITH PSILI AND VARIA
0x7F	0x1FA4	#GREEK SMALL LETTER OMEGA WITH PSILI AND OXIA AND YPOGEGRAMMENI
0x80	0x0374	#GREEK NUMERAL SIGN
0x81	0x03DC	#GREEK LETTER DIGAMMA
0x82	0x1F27	#GREEK SMALL LETTER ETA WITH DASIA AND PERISPOMENI
0x83	0x1F26	#GREEK SMALL LETTER ETA WITH PSILI AND PERISPOMENI
0x84	0x1FC4	#GREEK SMALL LETTER ETA WITH OXIA AND YPOGEGRAMMENI
0x85	0x1FC2	#GREEK SMALL LETTER ETA WITH VARIA AND YPOGEGRAMMENI
0x86	0x1FC7	#GREEK SMALL LETTER ETA WITH PERISPOMENI AND YPOGEGRAMMENI
0x87	0x1F90	#GREEK SMALL LETTER ETA WITH PSILI AND YPOGEGRAMMENI
0x88	0x1F95	#GREEK SMALL LETTER ETA WITH DASIA AND OXIA AND YPOGEGRAMMENI
